classification,d50 [micrometer],Na2O [ms%],MgO [ms%],Al2O3 [ms%],SiO2 [ms%],P2O5 [ms%],SO3 [ms%],K2O [ms%],CaO [ms%],TiO2 [ms%],Fe2O3 [ms%],MnO [ms%],SrO [ms%],BaO [ms%],amorph [ms%],crystal [ms%],albite [ms%],analcime [ms%],anatase [ms%],anhydrite [ms%],ankerite [ms%],anorthite [ms%],anorthoclase [ms%],arcanite [ms%],augite [ms%],bassanite [ms%],C3A [ms%],C3S [ms%],C2S [ms%],C4AF [ms%],calcite [ms%],chabazite [ms%],clinoptilolite-Na [ms%],cristobalite [ms%],gehlenite [ms%],gypsum [ms%],halloysite [ms%],halitepotassian [ms%],hematite [ms%],kalsilite [ms%],kaolinite [ms%],lime [ms%],maghemite [ms%],magnetite [ms%],merwinite [ms%],mullite [ms%],muscovite/illite [ms%],periclase [ms%],phillipsite-K [ms%],portlandite [ms%],quartz [ms%],sanidine [ms%],rutile [ms%],spinel [ms%],method type,SCM solid [ms%],Ca(OH)2 solid [ms%],CaCO3 solid [ms%],KOH solution [g/L],K2SO4 solution [g/L],solution/solid [ms ratio],temperature [degC],duration [h],cumulative heat [J/g of SCM]
clay,4.5,0.3,0,43.8,52,0.2,0.1,0.1,0,1.5,0.3,0,0,0,94.2,5.8,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,R3,22.2,66.7,11.1,4,20,1.2,40,168,977.7
clay,11.2,0.2,0.1,34.9,53.5,0.2,0,0.2,0.1,2.4,3.4,0,0,0,75,25,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,12,0,0,0,0,0,2,0,0,0,0,0,8,0,R3,22.2,66.7,11.1,4,20,1.2,40,168,514.3
slag,17.2,0.3,7.5,11.9,35.7,0,1.4,0.3,41.4,0.5,0.8,0.2,0,0,96.5,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,R3,22.2,66.7,11.1,4,20,1.2,40,168,503.8
slag,14.3,0.3,9.7,19.9,34.1,0,0.8,0.8,33,0.9,0.5,0.1,0,0,91.8,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.4,R3,22.2,66.7,11.1,4,20,1.2,40,168,558.8
coal ash,21.2,0.1,0.9,25.9,46.8,0.2,1.6,0.2,13.4,1,5.5,0,0,0,70.9,28.7,0,0,0,2.3,0,0,0,0,0,0,0.7,0,0.9,0,0,0,0,0,4.2,0,0,1.4,0,0,0,0.7,0,0,0,0,0,0,0,0,18.5,0,0,0,R3,22.2,66.7,11.1,4,20,1.2,40,168,396.4
coal ash,7.4,0.3,2.2,21.9,47.6,0.2,1.1,1.6,15.5,0.7,8.3,0.1,0,0,90.1,9.7,0,0,0,1.6,0,0,0,0,0,0,0.3,0,2.4,0,0,0,0,0,0,0,0,0,1.9,0,0,1.4,0,0,0,0,0,0,0,0,2.1,0,0,0,R3,22.2,66.7,11.1,4,20,1.2,40,168,409.6
coal ash,9,0.1,0.2,24.4,70.8,0.1,0,0.6,0.1,1.5,2.2,0.1,0,0,68.5,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,18.5,0,0,0,0,12.8,0,0,0,R3,22.2,66.7,11.1,4,20,1.2,40,168,214.1
coal ash,5.1,0.1,0.8,30.2,58.6,0.2,0,1.5,1.1,1.7,4.1,0,0,0,54.5,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,0,0,0,0,13.7,0,0,0,R3,22.2,66.7,11.1,4,20,1.2,40,168,162.5
coal ash,18.6,0.9,1.5,22.7,54.3,0.6,0.3,2.1,4.3,1.1,10.3,0.1,0,0,75,24.6,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.4,0,11.6,0,0,0,0,8.8,0,0,0,R3,22.2,66.7,11.1,4,20,1.2,40,168,198.4
natural pozzolan,12.9,4.2,1.9,16.5,56,0.2,0.1,4.4,3,0.8,5.1,0.2,0,0,36.8,63.1,0,13.8,0,0,0.8,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,7.8,0,0,20.4,0,0,R3,22.2,66.7,11.1,4,20,1.2,40,168,161.6
inert filler,18.6,0.2,0.1,0,99.3,0,0,0.1,0,0,0,0,0,0,1.2,98.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.8,0,0,0,R3,22.2,66.7,11.1,4,20,1.2,40,168,28.2
